iter	Passed	Remaining
723	137045	52243
724	137219	52048
725	137393	51853
726	137543	51649
727	137690	51444
728	137818	51233
729	137997	51040
730	138175	50847
731	138373	50661
732	138574	50476
733	138723	50272
734	138873	50069
735	139022	49866
736	139154	49657
737	139303	49454
738	139470	49258
739	139656	49068
740	139832	48875
741	139982	48673
742	140113	48464
743	140242	48255
744	140397	48055
745	140559	47857
746	140711	47657
747	140968	47492
748	141118	47290
749	141277	47092
750	141409	46885
751	141604	46699
752	141785	46508
753	141929	46305
754	142184	46139
755	142344	45941
756	142503	45744
757	142742	45572
758	142894	45372
759	143050	45173
760	143251	44989
761	143413	44793
762	143530	44582
763	143663	44377
764	143855	44190
765	144046	44003
766	144219	43811
767	144398	43620
768	144608	43439
769	144783	43246
770	144954	43053
771	145086	42849
772	145247	42653
773	145547	42498
774	145787	42325
775	145984	42139
776	146153	41946
777	146310	41749
778	146420	41539
779	146597	41348
780	146860	41181
781	147278	41057
782	147653	40920
783	147939	40758
784	148158	40578
785	148437	40414
786	148632	40227
787	148775	40025
788	148929	39827
789	149059	39623
790	149286	39444
791	149507	39264
792	149700	39077
793	149886	38887
794	150028	38686
795	150181	38488
796	150390	38305
797	150604	38123
798	150785	37932
799	150963	37740
800	151147	37551
801	151301	37353
802	151470	37160
803	151697	36980
804	151894	36794
805	152059	36599
806	152253	36412
807	152437	36222
808	152626	36034
809	152870	35858
810	153050	35667
811	153206	35471
812	153369	35276
813	153601	35098
814	153797	34911
815	154413	34818
816	154617	34632
817	154818	34446
818	155044	34265
819	155230	34075
820	155522	33907
821	155706	33717
822	155946	33538
823	156130	33348
824	156360	33167
825	156657	33000
826	156980	32838
827	157260	32667
828	157536	32495
829	157795	32319
830	158319	32197
831	158602	32025
832	158928	31862
833	159140	31675
834	159401	31498
835	159713	31331
836	160012	31161
837	160206	30970
838	160457	30791
839	160719	30613
840	161061	30450
841	161293	30266
842	161501	30077
843	161694	29886
844	162006	29717
845	162256	29536
846	162428	29340
847	162621	29149
848	162809	28956
849	162997	28764
850	163264	28585
851	163512	28403
852	163690	28209
853	163911	28022
854	164114	27832
855	164377	27652
856	164634	27471
857	164801	27274
858	165018	27086
859	165198	26892
860	165395	26701
861	165617	26514
862	165893	26335
863	166077	26141
864	166298	25954
865	166617	25781
866	166778	25584
867	167001	25396
868	167135	25195
869	167297	24998
870	167479	24804
871	167717	24619
872	167906	24426
